Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
BRICD5,-1.7674936999999997,1.053910917,33.15363462,3.09e-07,1.274260613207547e-06,10.41891888950079,795,5.302796034,Downregulated,5.894741740522634
TMPRSS9,-1.701344679,-0.492359095,35.21852654,1.53e-07,7.535788732394366e-07,10.417114481944232,796,5.527543872000001,Downregulated,6.122871285592232
CIMAP1B,-1.992373069,4.106515377,27.34252176,2.22e-06,5.9856129529683885e-06,10.405948106554062,797,4.653813597,Downregulated,5.222891369324197
RPL28,-1.778076038,8.55795519,32.67210367,3.53e-07,1.4075724059293044e-06,10.404463955160978,798,5.258407349,Downregulated,5.851529255668973
CDC25C,1.72422183,2.179690896,34.36553453,2.03e-07,9.291767015706806e-07,10.4003365674725,799,5.437374977999999,Upregulated,6.031901688353233
RPL21,-1.4205439469999999,6.970835195,47.46811572,3.6599999999999998e-09,4.793640449438202e-08,10.397436382065525,800,6.719947045,Downregulated,7.319334543660919
HBE1,3.01805938,0.355247026,14.82893916,0.000279651,0.0003588768979816514,10.397379041240642,801,3.009422171,Upregulated,3.4450544976489637
ALDH16A1,-1.623009264,3.1944562010000004,37.90319442,6.48e-08,3.94783275261324e-07,10.393169078928613,802,5.805394767,Downregulated,6.403641254218136
RPS5,-1.642329985,7.992625489,37.18073973,8.130000000000001e-08,4.738435e-07,10.386694394621145,803,5.726946431,Downregulated,6.32436507248033
FOXP4,-1.610421985,1.435351997,38.4667729,5.52e-08,3.5548547794117655e-07,10.385898255531377,804,5.849277517999999,Downregulated,6.449178136084237
TRIM47,-1.825908853,0.303992899,31.37080602,5.7e-07,2.0528218331616892e-06,10.385128190637486,805,5.102955324,Downregulated,5.687648741926268
KLHL2,1.945227291,8.045125257,28.23904912,1.62e-06,4.681933884297521e-06,10.367234201507069,806,4.758693097,Upregulated,5.3295747234645745
