Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
RPL11,-1.478802142,10.190503,40.90534733,2.55E-08,8.02E-07,9.014135387,860,6.095565546,Downregulated
CD1C,-1.628066005,2.78066353,35.3123939,1.49E-07,2.91E-06,9.013686242,861,5.536437842,Downregulated
EXOSC5,-1.693488824,2.160544866,33.24043921,2.94E-07,4.83E-06,9.002572164,865,5.315991482,Downregulated
RPL12,-1.481226509,8.857521053,40.61508325,2.78E-08,8.50E-07,8.99202891,866,6.070664313,Downregulated
RPL37A,-1.478388238,9.23078728,40.69761962,2.72E-08,8.32E-07,8.988273707,868,6.079778964,Downregulated
WDR54,-1.653164849,2.439310922,34.32074111,2.06E-07,3.69E-06,8.981527444,869,5.432929116,Downregulated
CCDC65,-1.621329535,1.857605933,35.31824917,1.49E-07,2.92E-06,8.973773271,871,5.534823783,Downregulated
CDPF1,-1.464073775,2.183932598,41.20527772,2.34E-08,7.55E-07,8.962931712,873,6.121912615,Downregulated
CARD9,-1.806023845,2.500368642,29.97585582,8.86E-07,1.09E-05,8.95911406,874,4.960684258,Downregulated
JAG2,-1.671653787,-2.000821397,31.05403702,2.57E-07,4.38E-06,8.957309981,875,5.358352338,Downregulated
DAGLA,-1.69899318,-0.495430318,32.78197489,3.43E-07,5.39E-06,8.951148623,876,5.268501797,Downregulated
CYP2E1,-1.807321196,-1.667560378,28.43470573,9.19E-07,1.13E-05,8.944116177,877,4.948824922,Downregulated
GRIN3B,-1.68268185,0.439519391,33.20860959,3.08E-07,4.98E-06,8.923276567,879,5.303008745,Downregulated
CISD3,-1.646306588,3.280170312,34.11622048,2.19E-07,3.90E-06,8.90565638,883,5.409476246,Downregulated
GPR162,-1.91470109,3.442335479,27.30696459,2.25E-06,2.24E-05,8.903258104,884,4.649946746,Downregulated
FBXL16,-1.737165676,1.048496164,31.41712699,5.51E-07,7.69E-06,8.884155221,885,5.114166912,Downregulated
NR2F6,-1.631436637,0.235997377,34.54878967,1.99E-07,3.60E-06,8.880944927,886,5.443634603,Downregulated
SMKR1,-1.66325866,-0.900568118,33.10818166,2.77E-07,4.62E-06,8.873457612,887,5.334983563,Downregulated
CACNA1H,-1.914270053,-1.555013927,26.07358258,2.37E-06,2.33E-05,8.868750294,889,4.632967162,Downregulated
PSMG4,-1.197937063,2.201899523,55.33535303,4.22E-10,4.01E-08,8.860519817,890,7.396481913,Downregulated
CIROZ,-1.655181362,-1.694285349,31.74398626,2.70E-07,4.54E-06,8.842891029,891,5.342551115,Downregulated
CA6,-2.055885489,0.120141582,24.51265425,6.37E-06,5.07E-05,8.830244508,894,4.295105226,Downregulated
ZFYVE28,-1.565003994,1.321136273,36.34621488,1.08E-07,2.29E-06,8.827635272,895,5.64064712,Downregulated
COPZ2,-1.586775636,0.461755756,35.57718966,1.42E-07,2.82E-06,8.805572643,897,5.549349539,Downregulated
LMF2,-1.538913911,4.936783859,36.97988775,8.67E-08,1.96E-06,8.784409171,900,5.708187515,Downregulated
MRAS,-1.819475047,1.396649804,28.83764392,1.33E-06,1.50E-05,8.778172039,901,4.824563027,Downregulated
NDUFB7,-1.884909503,3.973196205,27.36370026,2.21E-06,2.21E-05,8.776438893,902,4.656159291,Downregulated
GLI4,-1.559643367,1.258414052,36.22047406,1.13E-07,2.37E-06,8.771969085,904,5.624342894,Downregulated
ZNF497,-1.413510191,1.047590579,42.05820283,1.85E-08,6.28E-07,8.766672991,905,6.202058567,Downregulated
